timestamp,open,high,low,close,volume
2020-01-31,84.0300,84.3350,82.3400,82.5600,2850446
2020-01-30,84.9000,85.0300,83.6000,84.3800,3026658
2020-01-29,87.5500,88.3600,87.1500,87.2400,1131523
2020-01-28,86.8500,87.4800,86.1900,87.1800,1652210
2020-01-27,86.5400,87.1700,86.2100,86.5600,1867959
2020-01-24,89.4500,89.4600,87.5800,88.2600,1164489
2020-01-23,89.6200,89.9800,88.6600,89.0700,1228291
2020-01-22,89.9400,90.6400,89.8420,90.1300,1665822
2020-01-21,89.8000,90.1500,89.4600,89.6100,2697372
2020-01-17,89.9700,90.2800,89.2050,90.1200,3718336
2020-01-16,89.1200,89.4900,88.8600,89.4600,1480891
2020-01-15,87.6300,89.1100,87.5500,88.6200,1630364
2020-01-14,87.2700,88.2100,86.7000,87.9900,1675243
2020-01-13,87.8100,88.3200,86.7384,87.4600,1630160
2020-01-10,87.7200,88.2350,87.3200,87.5900,1417028
2020-01-09,86.4600,87.7000,86.1700,87.2700,1912699
2020-01-08,85.9600,86.4700,85.2000,85.9200,1847585
2020-01-07,83.9600,85.2600,83.9400,85.0800,1722896
2020-01-06,84.0000,84.8200,83.6000,84.8200,1992491
2020-01-03,84.6700,85.3300,84.5000,84.5700,1118322
2020-01-02,85.9000,86.3500,85.2000,85.9500,1410486
2019-12-31,84.8400,85.3400,84.6700,85.3100,1176222
2019-12-30,85.3400,85.4000,84.6400,84.9000,742820
2019-12-27,85.6800,85.6800,85.1100,85.4200,767716
2019-12-26,85.3100,85.6400,85.0900,85.4500,649078
2019-12-24,85.4500,85.4500,84.9800,85.3000,271858
2019-12-23,85.4200,85.4400,84.7600,85.2600,816020
2019-12-20,84.9400,85.3100,84.3200,85.1900,2287793
2019-12-19,83.9500,84.6700,83.5600,84.5100,1696006
2019-12-18,83.7500,84.0500,83.3600,83.4300,2025494
2019-12-17,84.7600,84.8600,83.7800,83.9500,1653196
2019-12-16,84.4700,84.9700,84.0000,84.4500,1371246
2019-12-13,84.6700,84.7400,83.5900,83.7100,1811165
2019-12-12,83.4900,84.9800,83.1700,84.8100,1920781
2019-12-11,82.9300,83.4700,82.5700,83.4200,1595285
2019-12-10,82.9000,83.8000,82.7000,82.9300,3067680
2019-12-09,82.3400,82.4700,81.5500,81.6200,1913684
2019-12-06,82.2400,82.4200,81.8200,82.2100,1783441
2019-12-05,80.8900,81.7350,80.5000,81.5300,1900031
2019-12-04,80.3000,81.0000,80.1800,80.9300,1690909
2019-12-03,79.5200,80.1100,79.1700,80.1000,2110132
2019-12-02,80.7800,80.9900,80.0200,80.3500,1775635
2019-11-29,80.9600,81.2400,80.4700,80.7700,835780
2019-11-27,81.0800,81.3400,80.6900,81.0800,1628005
2019-11-26,78.5700,81.0300,77.9600,80.9500,5329764
2019-11-25,79.4500,80.4624,79.3000,80.2600,2640193
2019-11-22,78.6100,79.1900,78.2300,79.1200,1869681
2019-11-21,78.9700,78.9700,77.3100,78.3000,2142169
2019-11-20,79.1600,79.3600,78.2100,78.5200,2429830
2019-11-19,78.1700,79.4900,77.8400,79.2900,1704766
2019-11-18,78.1400,78.5000,77.5000,77.9400,1641215
2019-11-15,76.9300,78.3100,76.6100,78.2600,1700368
2019-11-14,77.2100,77.4500,76.4800,76.7600,1113519
2019-11-13,76.8200,77.5000,76.5600,77.1600,1104429
2019-11-12,77.0000,77.5500,76.7200,77.0500,1008400
2019-11-11,76.2500,76.8500,76.1300,76.8500,1149169
2019-11-08,75.9000,76.6500,75.6500,76.6400,1231456
2019-11-07,76.3400,76.3800,75.6841,75.9100,860939
2019-11-06,75.7000,75.9400,74.9400,75.7900,1355737
2019-11-05,76.8200,76.9100,75.4700,75.5500,2362034
2019-11-04,77.6800,77.8450,76.7300,76.7400,1010174
2019-11-01,76.5100,77.3500,76.3150,76.9700,1106264
2019-10-31,76.0000,76.1200,75.1000,75.7500,970472
2019-10-30,76.0400,76.1500,75.2400,76.1200,914825
2019-10-29,75.0500,76.6800,74.9400,76.1700,1113263
2019-10-28,75.6900,76.5550,75.6900,76.1500,1143869
2019-10-25,74.7000,75.9700,74.1300,75.3900,835050
2019-10-24,75.0300,75.1100,74.4600,75.0000,1582478
2019-10-23,75.0200,75.8900,74.6800,74.9800,1828337
2019-10-22,75.6800,76.3300,74.6350,74.6900,1327981
2019-10-21,74.8800,75.5100,74.6900,75.4800,1739523
2019-10-18,74.0000,74.8200,73.7700,74.5700,2121895
2019-10-17,75.6900,76.2500,74.9000,74.9200,1657121
2019-10-16,75.3000,75.8800,74.9600,75.2700,2401590
2019-10-15,75.8000,76.3600,75.6800,75.7500,854689
2019-10-14,75.1800,75.8000,74.9900,75.1800,845358
2019-10-11,75.5500,76.2100,75.2400,75.3000,1216971
2019-10-10,73.4300,74.4300,73.4300,74.0000,1460394
2019-10-09,73.0500,73.8400,72.6400,73.4700,1519249
2019-10-08,73.9700,73.9700,71.7300,72.4900,3034916
2019-10-07,75.3500,75.6900,74.6400,75.1000,1065442
2019-10-04,74.0800,75.9100,74.0600,75.8800,1289752
2019-10-03,73.3800,73.8800,72.4700,73.8700,1909903
2019-10-02,74.3200,74.5400,72.9000,73.3500,2031175
2019-10-01,76.5000,76.8900,74.5900,74.8400,2221177
2019-09-30,76.3700,77.1100,76.3350,76.6300,1713739
2019-09-27,77.0200,77.3100,75.9200,76.3900,1639828
2019-09-26,76.4500,76.9600,76.0900,76.5200,1328608
2019-09-25,76.0500,76.5600,75.1550,76.3300,1811568
2019-09-24,78.2900,78.3900,75.6400,75.9700,4317585
2019-09-23,77.4800,78.3900,77.2700,78.0600,2233638
2019-09-20,78.2200,78.7400,77.9100,77.9700,4615740
2019-09-19,77.5800,78.1500,77.3200,78.0700,1779338
2019-09-18,76.3600,77.5700,75.7450,77.5700,1993422
2019-09-17,76.9500,76.9700,76.2800,76.4000,2722866
2019-09-16,77.3200,77.4300,76.4600,77.1500,2862699
2019-09-13,77.5900,78.0500,77.1800,77.9000,2673363
2019-09-12,77.0100,78.0900,76.7100,77.5700,4009762
2019-09-11,75.0700,77.0100,75.0650,76.9900,2800328
2019-09-10,73.5000,75.0300,73.2900,74.7700,2838030
