timestamp,open,high,low,close,volume
2020-02-10,3.8900,3.9000,3.8000,3.8100,30190466
2020-02-07,3.9200,3.9500,3.8600,3.9000,76469299
2020-02-06,4.0700,4.0700,3.8900,3.8900,27358247
2020-02-05,4.1700,4.2000,4.0200,4.0700,40597101
2020-02-04,4.1800,4.2000,4.0800,4.0900,28185005
2020-02-03,4.2000,4.2687,4.1200,4.1300,32328197
2020-01-31,4.2000,4.2300,4.1300,4.1600,11719891
2020-01-30,4.2400,4.2700,4.1650,4.2700,22839178
2020-01-29,4.4300,4.4400,4.2700,4.2700,12211303
2020-01-28,4.3900,4.4900,4.3700,4.4800,12770915
2020-01-27,4.4100,4.4400,4.3600,4.3800,23897847
2020-01-24,4.5100,4.5300,4.4600,4.5100,7980803
2020-01-23,4.4700,4.5200,4.4400,4.4500,23412597
2020-01-22,4.4800,4.5300,4.4800,4.5300,14388188
2020-01-21,4.4200,4.4800,4.4100,4.4100,26101751
2020-01-17,4.4700,4.4900,4.4200,4.4300,30768952
2020-01-16,4.5000,4.5150,4.4300,4.4400,16671044
2020-01-15,4.5300,4.5600,4.4500,4.4600,18155998
2020-01-14,4.6400,4.6500,4.5550,4.5800,35525563
2020-01-13,4.5500,4.6600,4.5400,4.6000,24067474
2020-01-10,4.6400,4.6600,4.5500,4.6100,24067453
2020-01-09,4.5700,4.5800,4.5100,4.5800,29817843
2020-01-08,4.6300,4.6900,4.5900,4.6400,18280247
2020-01-07,4.6000,4.7000,4.5750,4.6300,13782915
2020-01-06,4.6100,4.6900,4.5900,4.6200,12846499
2020-01-03,4.6400,4.6970,4.6300,4.6700,8742669
2020-01-02,4.6700,4.7300,4.6700,4.7300,10162680
2019-12-31,4.6400,4.6700,4.6200,4.6600,4139244
2019-12-30,4.7200,4.7400,4.6500,4.6500,8934948
2019-12-27,4.7200,4.7461,4.6900,4.7100,10891249
2019-12-26,4.6200,4.7100,4.6050,4.7100,6616214
2019-12-24,4.5900,4.5900,4.5600,4.5600,2832156
2019-12-23,4.6100,4.6300,4.5800,4.5800,5995308
2019-12-20,4.5300,4.6100,4.5300,4.5700,8535048
2019-12-19,4.6400,4.6900,4.6300,4.6900,18311496
2019-12-18,4.6700,4.6900,4.6200,4.6800,23377881
2019-12-17,4.6700,4.6900,4.6100,4.6200,23050277
2019-12-16,4.6800,4.7200,4.6500,4.6700,14832589
2019-12-13,4.5700,4.6300,4.5600,4.5800,9596493
2019-12-12,4.4600,4.5700,4.4600,4.5700,14951313
2019-12-11,4.4500,4.4700,4.3900,4.4500,11413120
2019-12-10,4.4500,4.4600,4.3800,4.4000,15397538
2019-12-09,4.3800,4.4600,4.3600,4.4300,12547166
2019-12-06,4.3800,4.4500,4.3400,4.4500,11216349
2019-12-05,4.3000,4.3300,4.2600,4.3200,13638504
2019-12-04,4.2700,4.4000,4.2700,4.3200,16058264
2019-12-03,4.2300,4.2600,4.2000,4.2400,16484082
2019-12-02,4.2600,4.2800,4.2200,4.2400,9319756
2019-11-29,4.2600,4.2900,4.1900,4.2100,9806468
2019-11-27,4.2000,4.2300,4.1500,4.2300,15623546
2019-11-26,4.2100,4.2400,4.1450,4.2200,26599297
2019-11-25,4.2800,4.3400,4.2700,4.3000,15871586
2019-11-22,4.3000,4.3600,4.2900,4.3100,26588908
2019-11-21,4.2400,4.2900,4.2000,4.2800,14742534
2019-11-20,4.1600,4.2550,4.1600,4.2100,10759607
2019-11-19,4.1500,4.2000,4.1150,4.2000,12611934
2019-11-18,4.1700,4.1800,4.1300,4.1300,9120245
2019-11-15,4.1700,4.2100,4.1500,4.2000,4338683
2019-11-14,4.1400,4.2000,4.1300,4.1500,22570142
2019-11-13,4.1100,4.1600,4.1000,4.1500,14126472
2019-11-12,4.1300,4.1550,4.1100,4.1300,11064460
2019-11-11,4.1400,4.2400,4.1300,4.1900,12555577
2019-11-08,4.1900,4.2200,4.1000,4.1200,22056068
2019-11-07,4.2650,4.2900,4.2400,4.2600,15727661
2019-11-06,4.2800,4.3200,4.2350,4.2600,11774533
2019-11-05,4.3600,4.4250,4.3500,4.3900,15341819
2019-11-04,4.3600,4.4000,4.3450,4.3600,7088244
2019-11-01,4.3500,4.3700,4.3000,4.3300,17517367
2019-10-31,4.3700,4.3900,4.2800,4.3100,25787099
2019-10-30,4.3200,4.3700,4.2800,4.3600,17908829
2019-10-29,4.3700,4.4250,4.3500,4.3600,16745938
2019-10-28,4.4400,4.4450,4.3200,4.3700,26747843
2019-10-25,4.4800,4.5100,4.3800,4.4300,48561503
2019-10-24,4.7100,4.8100,4.7100,4.7300,30702730
2019-10-23,4.5600,4.6400,4.5600,4.6200,11034797
2019-10-22,4.6100,4.6869,4.5800,4.5900,18203755
2019-10-21,4.5100,4.5900,4.4950,4.5800,12700524
2019-10-18,4.5200,4.5650,4.5000,4.5200,5809911
2019-10-17,4.5700,4.5800,4.4900,4.4900,10434307
2019-10-16,4.5100,4.5500,4.4850,4.5200,16441719
2019-10-15,4.5500,4.5900,4.5200,4.5200,10583666
2019-10-14,4.5400,4.5600,4.5000,4.5600,9680027
2019-10-11,4.5000,4.6000,4.4900,4.5500,18993821
2019-10-10,4.5400,4.5400,4.4350,4.4700,21839228
2019-10-09,4.5400,4.6000,4.5400,4.5600,14752137
2019-10-08,4.6000,4.6100,4.5200,4.5400,22207971
2019-10-07,4.7200,4.7400,4.5800,4.5800,13558338
2019-10-04,4.5700,4.7800,4.5500,4.7500,30280607
2019-10-03,4.5400,4.5900,4.5150,4.5300,17943043
2019-10-02,4.6200,4.6400,4.5400,4.5400,20598464
2019-10-01,4.6200,4.6900,4.5800,4.6700,26957896
2019-09-30,4.7200,4.7200,4.6100,4.6200,14098283
2019-09-27,4.6800,4.7150,4.6500,4.6900,12871188
2019-09-26,4.7400,4.7600,4.6650,4.6800,20299046
2019-09-25,4.6100,4.7300,4.6100,4.7300,23106107
2019-09-24,4.6600,4.6700,4.5700,4.6400,29672310
2019-09-23,4.6300,4.7000,4.6300,4.6500,21375908
