timestamp,open,high,low,close,volume
2020-01-31,134.3400,134.5900,131.5041,131.7500,1280660
2020-01-30,136.9500,137.4800,133.4300,135.2700,1018336
2020-01-29,139.0500,140.4342,138.1000,138.5500,913387
2020-01-28,139.7800,140.2400,137.3700,138.5800,923959
2020-01-27,139.8900,141.6600,139.0600,139.0600,937306
2020-01-24,150.0000,150.0000,141.2100,141.6800,1277148
2020-01-23,146.0700,150.1250,145.9700,149.7300,1312558
2020-01-22,148.8700,149.9750,146.8074,147.6500,1204275
2020-01-21,150.6200,150.6200,147.8601,149.0000,797257
2020-01-17,151.7800,152.0800,150.3600,151.0500,817440
2020-01-16,150.7400,152.0000,150.1000,151.9400,676992
2020-01-15,149.5800,151.4900,147.8200,150.2100,1208806
2020-01-14,145.5900,149.0800,144.3400,148.9000,1568390
2020-01-13,145.3300,147.0000,142.7600,145.2600,2138699
2020-01-10,153.1800,153.5000,148.6100,149.0100,1416121
2020-01-09,153.7800,153.9800,150.2500,152.8700,1177403
2020-01-08,154.8500,156.0500,153.1400,153.1600,825747
2020-01-07,156.9000,157.4000,152.4090,154.9400,1132189
2020-01-06,157.7400,158.8900,156.4325,156.8000,879926
2020-01-03,158.0300,159.6300,157.2500,159.4200,566975
2020-01-02,160.4700,160.9500,157.5300,159.4100,944940
2019-12-31,159.1600,160.3100,158.5000,160.1600,609597
2019-12-30,158.3500,160.2600,157.4300,159.1200,563449
2019-12-27,159.4700,159.7500,158.0000,158.3500,487179
2019-12-26,160.5300,161.0712,158.4400,159.2700,482321
2019-12-24,160.1200,162.0600,159.8300,160.5700,324208
2019-12-23,158.2200,160.2000,156.9000,159.9700,683591
2019-12-20,157.7700,158.7000,156.0900,158.1200,1269185
2019-12-19,157.4700,158.4500,156.2300,156.4800,734679
2019-12-18,158.1300,158.8000,156.5100,158.0300,564931
2019-12-17,154.5100,158.8600,153.6700,157.9800,941712
2019-12-16,155.4700,155.6222,153.4000,153.5000,659242
2019-12-13,156.2200,156.5086,154.2200,155.2100,768611
2019-12-12,155.5900,157.8400,155.4500,156.1200,710320
2019-12-11,155.8600,157.4500,153.7700,155.9000,881577
2019-12-10,153.1800,157.3400,152.4400,156.1700,1510597
2019-12-09,154.2400,154.4400,150.5000,151.5700,1899732
2019-12-06,153.2900,155.4500,151.9300,154.6200,1803944
2019-12-05,152.8900,153.4800,151.8200,152.2900,1602981
2019-12-04,152.6200,153.9300,152.0000,152.3300,2822419
2019-12-03,155.2500,155.2500,151.8800,152.6100,1051775
2019-12-02,157.4900,159.5700,156.4900,156.5500,893558
2019-11-29,158.4600,159.0100,156.6800,157.0800,487131
2019-11-27,157.6100,160.6100,157.3300,158.7800,809669
2019-11-26,159.4800,159.4800,156.9100,157.0900,1004341
2019-11-25,158.3600,160.5000,157.5900,159.1500,647468
2019-11-22,158.3000,159.1000,156.8200,157.8700,971608
2019-11-21,162.1500,163.1800,158.2000,158.3300,635890
2019-11-20,161.7900,161.9600,159.7200,161.7400,724034
2019-11-19,163.2200,163.6150,161.2200,161.9800,714484
2019-11-18,162.8500,164.0600,160.9450,163.6700,862885
2019-11-15,157.7900,162.6900,157.4400,162.6600,1084463
2019-11-14,157.9500,157.9700,155.0200,156.8300,881958
2019-11-13,155.3100,158.8800,153.7600,158.5800,1371772
2019-11-12,157.9500,160.4100,154.3100,156.1400,4357289
2019-11-11,166.7200,171.4300,165.9500,168.8200,1805501
2019-11-08,170.3600,170.6999,165.8000,167.4000,1242969
2019-11-07,170.4500,171.3600,168.8300,169.2800,669085
2019-11-06,168.1400,169.9500,166.4300,169.7000,866269
2019-11-05,167.6700,170.8700,166.5100,168.1400,1222257
2019-11-04,165.8400,167.3700,164.5900,166.6100,723501
2019-11-01,163.0100,166.3300,162.4600,164.8200,677808
2019-10-31,163.8400,164.1743,161.0600,162.4800,826641
2019-10-30,163.9900,165.5500,162.8000,163.9700,721607
2019-10-29,166.2700,166.9200,163.9900,164.3500,657543
2019-10-28,165.9600,167.9700,165.2300,166.4100,978791
2019-10-25,166.5000,169.6900,165.3400,165.5600,643134
2019-10-24,168.4400,170.5500,166.2951,166.8100,1254235
2019-10-23,165.2500,166.6750,163.2600,165.1200,702951
2019-10-22,166.4000,167.2500,164.1300,165.9800,578266
2019-10-21,164.5300,166.3500,163.9900,166.0300,665179
2019-10-18,163.5200,164.7400,160.7200,163.5000,642852
2019-10-17,162.5000,164.7100,161.2500,163.7500,731658
2019-10-16,159.2100,164.3400,159.2000,162.7500,874246
2019-10-15,158.7400,161.2350,157.1500,159.7300,621203
2019-10-14,158.1400,159.2300,157.0850,157.3200,436294
2019-10-11,157.5100,160.0000,157.4000,158.5600,699370
2019-10-10,154.6000,156.4200,153.8250,155.9500,732871
2019-10-09,154.6100,155.3800,153.2500,154.4100,641583
2019-10-08,156.6000,156.8900,153.2500,154.3300,920513
2019-10-07,159.0900,160.3700,157.1000,158.2700,1209258
2019-10-04,159.5400,160.6100,157.2000,159.9400,749702
2019-10-03,162.6000,162.7900,158.2600,159.8600,919615
2019-10-02,166.2700,166.8700,161.9500,162.9600,975433
2019-10-01,165.5900,167.6400,163.9400,167.2900,1087232
2019-09-30,161.6400,165.9700,161.4620,165.4000,991723
2019-09-27,161.1300,162.4200,160.4500,161.6800,531882
2019-09-26,162.0700,162.0700,158.5000,160.3800,730414
2019-09-25,159.2200,162.6700,158.8800,162.2800,806357
2019-09-24,162.4800,163.6100,158.7200,159.2200,1263894
2019-09-23,156.5500,161.5700,155.7800,161.2200,1251437
2019-09-20,152.9300,156.7994,152.6900,155.6900,1056104
2019-09-19,153.7300,154.5600,152.3100,152.8000,713468
2019-09-18,155.9100,156.3700,152.5700,153.7900,668306
2019-09-17,155.4400,157.0000,153.7350,156.0700,841974
2019-09-16,156.0000,158.2599,155.6976,156.0700,904941
2019-09-13,159.1000,159.3200,154.8500,157.0000,996697
2019-09-12,160.0000,160.1500,155.0800,155.2000,1163436
2019-09-11,154.9600,158.8900,154.6800,158.8600,1179510
2019-09-10,147.3700,155.3800,146.7900,154.7000,1403209
